CaseID;ActivityID;Timestamp
0;0;10.01.2011 06:45:00
0;1;10.01.2011 07:17:00
0;1;10.08.2011 11:32:00
0;1;10.10.2011 06:33:00
0;2;13.10.2011 05:37:37
1;0;10.01.2011 06:43:00
1;0;10.01.2011 09:35:00
1;1;10.01.2011 09:36:00
1;1;10.03.2011 11:56:00
1;1;10.03.2011 11:57:00
1;1;10.10.2011 05:14:00
1;2;10.10.2011 06:30:00
1;2;10.10.2011 09:14:00
1;2;10.10.2011 09:17:00
2;0;10.01.2011 06:35:00
2;0;10.03.2011 06:21:00
2;0;10.03.2011 08:32:00
2;0;03.10.2011 08:40:17
2;1;10.03.2011 08:44:00
2;1;10.10.2011 11:47:00
2;1;10.10.2011 14:34:36
2;1;14.10.2011 13:16:00
2;1;17.10.2011 15:43:00
2;1;25.10.2011 06:50:00
2;1;26.10.2011 14:50:22
2;1;29.10.2011 08:41:00
2;1;01.11.2011 11:55:35
2;1;11.01.2011 14:21:00
2;1;11.02.2011 06:15:00
2;2;11.04.2011 13:05:00
3;0;10.01.2011 06:40:00
3;0;10.01.2011 08:02:00
4;3;10.01.2011 05:16:00
4;0;10.01.2011 06:50:00
4;0;10.01.2011 06:53:00
4;0;10.01.2011 10:00:00
5;0;10.01.2011 05:27:00
5;0;10.01.2011 06:43:00
5;0;10.10.2011 12:43:00
5;0;11.01.2011 06:15:00
6;3;10.01.2011 05:10:00
6;0;10.01.2011 08:03:00
6;0;10.03.2011 06:17:00
6;0;10.03.2011 09:42:00
7;0;10.01.2011 06:46:00
7;0;10.01.2011 07:30:00
7;1;10.08.2011 11:38:00
7;1;10.10.2011 07:54:00
7;2;13.10.2011 06:05:28
8;0;10.01.2011 05:44:00
8;1;10.01.2011 05:44:00
8;1;10.01.2011 05:46:00
8;1;10.01.2011 05:50:00
8;1;10.01.2011 05:50:00
8;1;10.08.2011 11:31:00
8;1;10.10.2011 05:55:00
8;2;13.10.2011 07:36:00
8;4;13.10.2011 08:05:00
8;4;13.10.2011 08:53:00
8;4;13.10.2011 12:12:00
8;4;13.10.2011 12:14:00
8;4;13.10.2011 12:14:00
8;4;15.10.2011 10:17:00
8;4;15.10.2011 11:56:00
8;4;17.10.2011 09:32:00
8;4;17.10.2011 10:28:00
8;4;18.10.2011 12:46:00
8;4;18.10.2011 13:46:00
8;2;19.10.2011 04:53:00
8;4;19.10.2011 05:17:00
8;4;19.10.2011 05:24:19
8;4;20.10.2011 05:30:00
8;4;24.10.2011 11:24:00
8;4;26.10.2011 04:12:00
8;2;27.10.2011 05:18:00
9;0;10.01.2011 06:20:00
9;1;10.01.2011 06:22:00
9;1;10.01.2011 06:32:00
9;1;10.04.2011 09:47:00
9;1;10.06.2011 04:49:00
9;2;10.10.2011 05:06:00
9;4;10.10.2011 05:20:00
9;4;10.10.2011 06:42:00
9;4;10.10.2011 09:22:00
9;4;10.10.2011 11:28:00
10;3;10.01.2011 07:12:00
10;3;10.01.2011 07:20:00
10;0;10.01.2011 08:27:00
10;0;10.01.2011 09:02:00
10;0;10.01.2011 10:15:00
10;0;10.03.2011 06:33:00
10;0;10.03.2011 10:48:00
11;0;10.01.2011 08:55:00
11;0;10.01.2011 10:15:00
11;0;10.01.2011 10:31:00
11;0;10.01.2011 10:40:00
11;1;10.01.2011 10:48:00
11;1;10.08.2011 11:20:00
11;1;10.10.2011 15:49:00
11;1;10.11.2011 05:47:00
11;1;10.11.2011 14:55:00
11;1;10.12.2011 10:37:00
11;1;13.10.2011 13:35:00
11;1;14.10.2011 05:21:10
11;2;19.10.2011 09:20:00
11;4;19.10.2011 09:32:00
11;4;19.10.2011 09:36:00
11;4;19.10.2011 15:11:00
11;4;20.10.2011 04:10:36
11;2;20.10.2011 06:08:00
11;4;20.10.2011 06:27:00
11;4;20.10.2011 06:45:00
11;2;20.10.2011 08:00:47
11;4;20.10.2011 08:32:33
11;4;20.10.2011 09:52:00
11;4;20.10.2011 12:25:42
11;2;21.10.2011 02:15:00
11;2;21.10.2011 05:05:00
11;2;21.10.2011 05:08:00
12;3;10.01.2011 09:54:00
13;0;10.01.2011 10:40:00
13;0;01.10.2011 10:55:45
13;0;10.01.2011 11:05:00
13;1;10.04.2011 07:59:00
13;1;10.10.2011 08:34:00
13;2;13.10.2011 05:49:00
13;4;13.10.2011 06:03:00
13;4;13.10.2011 06:06:00
13;4;13.10.2011 06:08:21
13;4;13.10.2011 06:36:00
13;4;13.10.2011 07:16:00
13;4;18.10.2011 06:20:00
13;2;18.10.2011 08:01:00
14;0;10.01.2011 10:27:00
14;0;01.10.2011 10:42:01
14;0;01.10.2011 10:56:43
14;1;10.01.2011 11:00:00
14;1;10.08.2011 10:32:00
14;1;11.10.2011 05:19:14
14;2;13.10.2011 08:12:00
14;2;13.10.2011 10:04:00
14;4;13.10.2011 15:01:00
14;4;14.10.2011 05:06:00
14;4;14.10.2011 08:19:00
14;4;14.10.2011 08:37:00
14;4;14.10.2011 09:05:00
14;4;14.10.2011 10:49:00
14;2;14.10.2011 11:22:00
15;3;10.01.2011 09:56:00
15;0;01.10.2011 10:50:01
15;0;10.03.2011 07:56:00
15;0;10.03.2011 10:55:00
15;0;10.04.2011 06:35:00
15;0;10.04.2011 08:26:00
15;0;10.04.2011 12:27:00
15;0;10.05.2011 04:32:00
15;0;10.05.2011 08:28:00
15;0;10.05.2011 13:14:00
15;0;10.05.2011 13:53:00
15;0;10.06.2011 05:00:00
15;0;10.06.2011 15:54:00
15;0;10.07.2011 13:34:00
15;0;10.08.2011 05:51:00
15;0;08.10.2011 06:30:22
15;0;14.10.2011 10:52:00
16;3;10.01.2011 10:21:00
16;0;01.10.2011 10:58:47
16;1;10.08.2011 07:45:00
