CaseID;ActivityID;Timestamp;Resource;Resource2
0;0;10.01.2011 06:45:00;0;0
0;1;10.01.2011 07:17:00;0;0
0;1;10.08.2011 11:32:00;1;1
0;1;10.10.2011 06:33:00;2;2
0;2;13.10.2011 05:37:37;3;3
1;0;10.01.2011 06:43:00;0;0
1;0;10.01.2011 09:35:00;0;0
1;1;10.01.2011 09:36:00;0;0
1;1;10.03.2011 11:56:00;0;0
1;1;10.03.2011 11:57:00;0;0
1;1;10.10.2011 05:14:00;2;2
1;2;10.10.2011 06:30:00;4;4
1;2;10.10.2011 09:14:00;4;4
1;2;10.10.2011 09:17:00;4;4
2;0;10.01.2011 06:35:00;5;5
2;0;10.03.2011 06:21:00;0;0
2;0;10.03.2011 08:32:00;6;6
2;0;03.10.2011 08:40:17;6;6
2;1;10.03.2011 08:44:00;6;6
2;1;10.10.2011 11:47:00;0;0
2;1;10.10.2011 14:34:36;7;7
2;1;14.10.2011 13:16:00;5;5
2;1;17.10.2011 15:43:00;8;8
2;1;25.10.2011 06:50:00;0;0
2;1;26.10.2011 14:50:22;9;9
2;1;29.10.2011 08:41:00;10;10
2;1;01.11.2011 11:55:35;11;11
2;1;11.01.2011 14:21:00;7;7
2;1;11.02.2011 06:15:00;2;2
2;2;11.04.2011 13:05:00;12;12
3;0;10.01.2011 06:40:00;5;5
3;0;10.01.2011 08:02:00;5;5
4;3;10.01.2011 05:16:00;5;5
4;0;10.01.2011 06:50:00;5;5
4;0;10.01.2011 06:53:00;5;5
4;0;10.01.2011 10:00:00;0;0
5;0;10.01.2011 05:27:00;5;5
5;0;10.01.2011 06:43:00;5;5
5;0;10.10.2011 12:43:00;13;13
5;0;11.01.2011 06:15:00;13;13
6;3;10.01.2011 05:10:00;5;5
6;0;10.01.2011 08:03:00;14;14
6;0;10.03.2011 06:17:00;15;15
6;0;10.03.2011 09:42:00;15;15
7;0;10.01.2011 06:46:00;0;0
7;0;10.01.2011 07:30:00;5;5
7;1;10.08.2011 11:38:00;1;1
7;1;10.10.2011 07:54:00;16;16
7;2;13.10.2011 06:05:28;17;17
8;0;10.01.2011 05:44:00;0;0
8;1;10.01.2011 05:44:00;0;0
8;1;10.01.2011 05:46:00;0;0
8;1;10.01.2011 05:50:00;0;0
8;1;10.01.2011 05:50:00;0;0
8;1;10.08.2011 11:31:00;18;18
8;1;10.10.2011 05:55:00;2;2
8;2;13.10.2011 07:36:00;3;3
8;4;13.10.2011 08:05:00;0;0
8;4;13.10.2011 08:53:00;3;3
8;4;13.10.2011 12:12:00;19;19
8;4;13.10.2011 12:14:00;19;19
8;4;13.10.2011 12:14:00;19;19
8;4;15.10.2011 10:17:00;1;1
8;4;15.10.2011 11:56:00;1;1
8;4;17.10.2011 09:32:00;0;0
8;4;17.10.2011 10:28:00;0;0
8;4;18.10.2011 12:46:00;20;20
8;4;18.10.2011 13:46:00;18;18
8;2;19.10.2011 04:53:00;21;21
8;4;19.10.2011 05:17:00;0;0
8;4;19.10.2011 05:24:19;0;0
8;4;20.10.2011 05:30:00;2;2
8;4;24.10.2011 11:24:00;22;22
8;4;26.10.2011 04:12:00;0;0
8;2;27.10.2011 05:18:00;21;21
9;0;10.01.2011 06:20:00;23;23
9;1;10.01.2011 06:22:00;23;23
9;1;10.01.2011 06:32:00;23;23
9;1;10.04.2011 09:47:00;0;0
9;1;10.06.2011 04:49:00;0;0
9;2;10.10.2011 05:06:00;12;12
9;4;10.10.2011 05:20:00;5;5
9;4;10.10.2011 06:42:00;5;5
9;4;10.10.2011 09:22:00;0;0
9;4;10.10.2011 11:28:00;24;24
10;3;10.01.2011 07:12:00;5;5
10;3;10.01.2011 07:20:00;23;23
10;0;10.01.2011 08:27:00;5;5
10;0;10.01.2011 09:02:00;0;0
10;0;10.01.2011 10:15:00;25;25
10;0;10.03.2011 06:33:00;0;0
10;0;10.03.2011 10:48:00;6;6
11;0;10.01.2011 08:55:00;5;5
11;0;10.01.2011 10:15:00;9;9
11;0;10.01.2011 10:31:00;9;9
11;0;10.01.2011 10:40:00;9;9
11;1;10.01.2011 10:48:00;9;9
11;1;10.08.2011 11:20:00;1;1
11;1;10.10.2011 15:49:00;0;0
11;1;10.11.2011 05:47:00;0;0
11;1;10.11.2011 14:55:00;26;26
11;1;10.12.2011 10:37:00;15;15
11;1;13.10.2011 13:35:00;15;15
11;1;14.10.2011 05:21:10;0;0
11;2;19.10.2011 09:20:00;4;4
11;4;19.10.2011 09:32:00;0;0
11;4;19.10.2011 09:36:00;0;0
11;4;19.10.2011 15:11:00;19;19
11;4;20.10.2011 04:10:36;0;0
11;2;20.10.2011 06:08:00;21;21
11;4;20.10.2011 06:27:00;27;27
11;4;20.10.2011 06:45:00;0;0
11;2;20.10.2011 08:00:47;21;21
11;4;20.10.2011 08:32:33;27;27
11;4;20.10.2011 09:52:00;21;21
11;4;20.10.2011 12:25:42;2;2
11;2;21.10.2011 02:15:00;21;21
11;2;21.10.2011 05:05:00;4;4
11;2;21.10.2011 05:08:00;21;21
12;3;10.01.2011 09:54:00;23;23
13;0;10.01.2011 10:40:00;14;14
13;0;01.10.2011 10:55:45;9;9
13;0;10.01.2011 11:05:00;9;9
13;1;10.04.2011 07:59:00;13;13
13;1;10.10.2011 08:34:00;16;16
13;2;13.10.2011 05:49:00;17;17
13;4;13.10.2011 06:03:00;0;0
13;4;13.10.2011 06:06:00;0;0
13;4;13.10.2011 06:08:21;0;0
13;4;13.10.2011 06:36:00;27;27
13;4;13.10.2011 07:16:00;0;0
13;4;18.10.2011 06:20:00;0;0
13;2;18.10.2011 08:01:00;4;4
14;0;10.01.2011 10:27:00;25;25
14;0;01.10.2011 10:42:01;0;0
14;0;01.10.2011 10:56:43;25;25
14;1;10.01.2011 11:00:00;25;25
14;1;10.08.2011 10:32:00;25;25
14;1;11.10.2011 05:19:14;0;0
14;2;13.10.2011 08:12:00;12;12
14;2;13.10.2011 10:04:00;3;3
14;4;13.10.2011 15:01:00;23;23
14;4;14.10.2011 05:06:00;14;14
14;4;14.10.2011 08:19:00;0;0
